engagement_id,client_name,client_industry,engagement_type,practice_area,region,start_date,end_date,duration_weeks,team_size,contracted_hours,actual_hours,scope_overrun_pct,avg_billing_rate_gbp,contracted_revenue_gbp,direct_cost_gbp,overhead_cost_gbp,total_cost_gbp,actual_cost_gbp,contracted_margin_gbp,contracted_margin_pct,actual_margin_gbp,actual_margin_pct,client_satisfaction_score,is_repeat_client
ENG-0011,Cascade Solutions,Telecommunications,Regulatory Compliance,Financial Advisory,Birmingham,2024-10-05,2024-11-16,6,4,76.0,88.0,15.4,290.0,22119.0,11262.0,1472.0,12734.0,14103.0,9385.0,42.4,8016.0,36.2,7.6,0
ENG-0012,Horizon PLC,Technology,Operating Model Design,People & Organisation,Manchester,2023-02-14,2023-04-11,8,6,194.0,201.0,3.5,245.0,47696.0,24868.0,2099.0,26967.0,27621.0,20729.0,43.5,20075.0,42.1,8.9,0
ENG-0013,Crest PLC,Healthcare & Pharma,Strategic Review,People & Organisation,Manchester,2023-09-21,2023-10-19,4,3,48.0,53.0,10.0,215.0,10382.0,5634.0,528.0,6162.0,6594.0,4220.0,40.6,3787.0,36.5,7.0,1
ENG-0014,Vanguard PLC,Energy & Utilities,Regulatory Compliance,People & Organisation,Edinburgh,2024-04-29,2024-06-24,8,2,55.0,55.0,0.0,225.0,12416.0,6447.0,716.0,7163.0,7163.0,5253.0,42.3,5253.0,42.3,8.6,0
ENG-0015,Nexus Solutions,Healthcare & Pharma,M&A Due Diligence,Strategy & Growth,Edinburgh,2024-07-29,2024-12-16,20,8,662.0,662.0,0.0,280.0,185186.0,96744.0,8136.0,104880.0,104880.0,80306.0,43.4,80306.0,43.4,8.4,1
ENG-0016,Crest Industries,Manufacturing,Customer Experience,Strategy & Growth,Bristol,2023-10-15,2024-01-07,12,10,358.0,441.0,23.3,291.0,104164.0,57058.0,8545.0,65603.0,76325.0,38561.0,37.0,27839.0,26.7,6.6,0
ENG-0017,Vertex Corp,Energy & Utilities,Market Entry,Financial Advisory,Manchester,2024-05-23,2024-06-20,4,4,46.0,49.0,4.6,314.0,14610.0,8003.0,928.0,8931.0,9220.0,5679.0,38.9,5390.0,36.9,9.0,0
ENG-0018,Sentinel Systems,Technology,Customer Experience,Strategy & Growth,London,2023-03-01,2023-06-21,16,3,215.0,258.0,20.1,306.0,65656.0,34390.0,5139.0,39529.0,45091.0,26127.0,39.8,20566.0,31.3,7.2,1
ENG-0019,Sterling PLC,Telecommunications,Customer Experience,Financial Advisory,London,2023-01-16,2023-03-27,10,5,156.0,173.0,10.7,271.0,42388.0,24186.0,2946.0,27132.0,29171.0,15256.0,36.0,13217.0,31.2,8.4,0
ENG-0020,Nexus Corp,Manufacturing,Cost Reduction,People & Organisation,Edinburgh,2024-07-28,2024-10-20,12,8,285.0,306.0,7.4,220.0,62727.0,33686.0,3757.0,37443.0,39374.0,25284.0,40.3,23353.0,37.2,9.6,0
ENG-0021,Monarch Corp,Healthcare & Pharma,Data Strategy,Strategy & Growth,Birmingham,2023-06-05,2023-07-31,8,6,197.0,270.0,37.3,261.0,51426.0,27382.0,2622.0,30003.0,37845.0,21422.0,41.7,13581.0,26.4,6.0,0
ENG-0022,Zenith Partners,Energy & Utilities,M&A Due Diligence,Technology & Digital,Edinburgh,2024-07-07,2024-08-04,4,8,137.0,137.0,0.0,223.0,30500.0,15836.0,2209.0,18045.0,18045.0,12455.0,40.8,12455.0,40.8,8.0,0
ENG-0023,Cascade Industries,Manufacturing,Workforce Transformation,Strategy & Growth,Manchester,2023-04-22,2023-06-17,8,3,75.0,75.0,0.0,284.0,21315.0,11289.0,1085.0,12374.0,12374.0,8941.0,41.9,8941.0,41.9,7.7,0
ENG-0024,Sentinel Corp,Healthcare & Pharma,M&A Due Diligence,People & Organisation,Birmingham,2024-03-26,2024-05-21,8,4,106.0,130.0,23.2,228.0,24121.0,11402.0,1590.0,12992.0,15101.0,11129.0,46.1,9020.0,37.4,6.9,1
ENG-0025,Astra Partners,Manufacturing,M&A Due Diligence,Financial Advisory,Manchester,2024-06-13,2025-01-23,32,5,653.0,653.0,0.0,276.0,180351.0,88775.0,10206.0,98982.0,98982.0,81369.0,45.1,81369.0,45.1,9.5,0
ENG-0026,Sentinel Partners,Manufacturing,Digital Transformation,Operations & Supply Chain,Bristol,2023-11-06,2024-04-22,24,4,314.0,314.0,0.0,233.0,73138.0,41770.0,4314.0,46084.0,46084.0,27054.0,37.0,27054.0,37.0,7.3,0
ENG-0027,Crest Group,Healthcare & Pharma,Workforce Transformation,Strategy & Growth,Edinburgh,2023-11-22,2024-01-03,6,3,74.0,74.0,0.0,298.0,22139.0,10544.0,1338.0,11881.0,11881.0,10258.0,46.3,10258.0,46.3,7.7,0
ENG-0028,Pinnacle Group,Manufacturing,Customer Experience,Strategy & Growth,Manchester,2023-12-14,2024-05-02,20,2,148.0,174.0,17.7,296.0,43743.0,23302.0,2114.0,25416.0,28571.0,18328.0,41.9,15173.0,34.7,7.1,0
ENG-0029,Falcon Solutions,Financial Services,Supply Chain Redesign,Technology & Digital,Manchester,2024-01-04,2024-05-23,20,3,177.0,177.0,0.0,233.0,41161.0,20406.0,2170.0,22576.0,22576.0,18585.0,45.2,18585.0,45.2,8.2,0
ENG-0030,Cascade Enterprises,Retail & Consumer,Process Optimisation,Strategy & Growth,Edinburgh,2023-05-28,2023-08-06,10,5,210.0,233.0,10.7,289.0,60667.0,35239.0,3741.0,38979.0,41909.0,21687.0,35.7,18758.0,30.9,8.5,0
ENG-0031,Sentinel Enterprises,Manufacturing,Data Strategy,Financial Advisory,Birmingham,2024-09-05,2024-11-14,10,6,199.0,223.0,12.2,276.0,54975.0,29987.0,3080.0,33067.0,35894.0,21908.0,39.9,19081.0,34.7,6.4,1
ENG-0032,Sterling Corp,Energy & Utilities,Customer Experience,Technology & Digital,Manchester,2024-10-11,2025-01-31,16,10,689.0,737.0,6.9,249.0,171655.0,88147.0,9446.0,97594.0,102328.0,74061.0,43.1,69327.0,40.4,6.5,1
ENG-0033,Meridian Partners,Public Sector,Digital Transformation,Technology & Digital,London,2024-01-24,2024-02-21,4,10,124.0,129.0,3.7,238.0,29638.0,16017.0,2291.0,18308.0,18779.0,11330.0,38.2,10859.0,36.6,8.0,0
ENG-0034,Pinnacle Systems,Healthcare & Pharma,Digital Transformation,Technology & Digital,London,2023-12-02,2024-02-24,12,8,272.0,272.0,0.0,273.0,74196.0,36732.0,3966.0,40697.0,40697.0,33499.0,45.1,33499.0,45.1,9.9,1
ENG-0035,Zenith Capital,Technology,Cost Reduction,People & Organisation,Manchester,2024-07-21,2024-09-01,6,4,68.0,74.0,8.7,251.0,17083.0,8725.0,991.0,9716.0,10306.0,7366.0,43.1,6776.0,39.7,7.9,0
ENG-0036,Crest Corp,Telecommunications,Operating Model Design,People & Organisation,Manchester,2024-07-27,2024-09-21,8,5,145.0,153.0,5.5,214.0,31049.0,17759.0,2651.0,20411.0,21191.0,10639.0,34.3,9858.0,31.7,6.8,0
ENG-0037,Ember Enterprises,Technology,Supply Chain Redesign,Technology & Digital,Manchester,2023-01-04,2023-02-15,6,3,77.0,85.0,9.5,250.0,19350.0,10251.0,852.0,11103.0,11840.0,8247.0,42.6,7509.0,38.8,6.8,0
ENG-0038,Nexus International,Technology,Regulatory Compliance,Technology & Digital,Birmingham,2023-12-21,2024-04-11,16,3,178.0,178.0,0.0,257.0,45814.0,23489.0,2251.0,25740.0,25740.0,20074.0,43.8,20074.0,43.8,8.6,0
ENG-0039,Monarch Enterprises,Public Sector,Market Entry,Strategy & Growth,Edinburgh,2023-09-20,2023-11-15,8,5,166.0,207.0,24.8,265.0,44062.0,23088.0,2229.0,25317.0,29703.0,18746.0,42.5,14360.0,32.6,6.1,0
ENG-0040,Cascade Corp,Healthcare & Pharma,Customer Experience,Operations & Supply Chain,London,2024-04-05,2024-05-31,8,3,92.0,92.0,0.0,256.0,23442.0,11654.0,1353.0,13008.0,13008.0,10434.0,44.5,10434.0,44.5,8.8,0
ENG-0041,Vanguard Capital,Public Sector,Regulatory Compliance,Strategy & Growth,Manchester,2024-02-08,2024-05-02,12,3,131.0,144.0,9.7,246.0,32231.0,16909.0,1899.0,18808.0,20083.0,13423.0,41.6,12148.0,37.7,9.1,0
ENG-0042,Nexus Corp,Telecommunications,Market Entry,People & Organisation,London,2023-02-24,2023-05-05,10,5,176.0,176.0,0.0,221.0,38826.0,20318.0,2733.0,23050.0,23050.0,15776.0,40.6,15776.0,40.6,10.0,0
ENG-0043,Crest Enterprises,Energy & Utilities,Regulatory Compliance,Operations & Supply Chain,Manchester,2024-07-25,2024-10-17,12,6,310.0,338.0,9.0,244.0,75644.0,39147.0,5613.0,44760.0,47594.0,30884.0,40.8,28050.0,37.1,8.4,1
ENG-0044,Horizon Holdings,Public Sector,Cost Reduction,Strategy & Growth,London,2024-07-11,2024-10-03,12,5,218.0,218.0,0.0,263.0,57418.0,28032.0,4166.0,32198.0,32198.0,25220.0,43.9,25220.0,43.9,8.7,1
ENG-0045,Atlas Group,Energy & Utilities,Market Entry,Technology & Digital,London,2023-07-30,2023-08-27,4,5,79.0,83.0,5.3,294.0,23285.0,12306.0,1676.0,13982.0,14497.0,9304.0,40.0,8789.0,37.7,10.0,0
ENG-0046,Nexus Systems,Manufacturing,Customer Experience,Technology & Digital,Manchester,2023-02-06,2023-04-03,8,4,120.0,123.0,2.5,279.0,33465.0,17352.0,1978.0,19330.0,19669.0,14134.0,42.2,13796.0,41.2,6.5,0
ENG-0047,Pinnacle Corp,Financial Services,Cost Reduction,Technology & Digital,London,2023-12-04,2024-01-01,4,8,127.0,148.0,16.0,232.0,29489.0,15786.0,1701.0,17487.0,19446.0,12002.0,40.7,10043.0,34.1,7.9,1
ENG-0048,Pinnacle Holdings,Technology,Strategic Review,Financial Advisory,Edinburgh,2023-10-22,2023-12-17,8,4,138.0,152.0,10.3,292.0,40160.0,21377.0,2026.0,23403.0,25096.0,16757.0,41.7,15064.0,37.5,7.1,0
ENG-0049,Crest International,Retail & Consumer,Digital Transformation,Financial Advisory,London,2024-01-01,2024-02-12,6,4,67.0,73.0,9.9,238.0,15877.0,8608.0,862.0,9470.0,10126.0,6406.0,40.4,5751.0,36.2,7.4,0
ENG-0050,Pinnacle PLC,Telecommunications,M&A Due Diligence,Strategy & Growth,Birmingham,2024-09-03,2024-11-26,12,3,139.0,139.0,0.0,292.0,40582.0,22816.0,2271.0,25087.0,25087.0,15495.0,38.2,15495.0,38.2,8.1,1
ENG-0051,Vanguard Enterprises,Energy & Utilities,Strategic Review,Strategy & Growth,Edinburgh,2024-06-25,2024-07-23,4,2,27.0,27.0,0.0,311.0,8452.0,4533.0,482.0,5015.0,5015.0,3437.0,40.7,3437.0,40.7,8.4,0
ENG-0052,Falcon Systems,Telecommunications,Strategic Review,Operations & Supply Chain,Edinburgh,2023-12-25,2024-03-04,10,2,80.0,91.0,14.4,272.0,21757.0,11838.0,1361.0,13199.0,14527.0,8557.0,39.3,7229.0,33.2,7.8,0
ENG-0053,Helix Industries,Telecommunications,Process Optimisation,Operations & Supply Chain,Manchester,2023-03-18,2023-07-08,16,3,172.0,192.0,11.4,231.0,39691.0,22678.0,3268.0,25946.0,28018.0,13745.0,34.6,11673.0,29.4,6.6,0
ENG-0054,Sentinel Partners,Public Sector,Process Optimisation,People & Organisation,Manchester,2024-08-14,2025-01-01,20,5,329.0,395.0,20.4,224.0,73641.0,40485.0,5958.0,46442.0,53061.0,27199.0,36.9,20580.0,27.9,6.0,0
ENG-0055,Horizon International,Technology,Strategic Review,Strategy & Growth,Edinburgh,2023-10-04,2023-11-01,4,4,71.0,73.0,2.8,258.0,18244.0,8969.0,1124.0,10094.0,10292.0,8150.0,44.7,7952.0,43.6,7.5,0
ENG-0056,Ironbridge International,Public Sector,Cost Reduction,Strategy & Growth,Manchester,2023-09-12,2024-01-30,20,8,441.0,512.0,16.2,314.0,138541.0,77717.0,6617.0,84333.0,93905.0,54208.0,39.1,44636.0,32.2,7.6,1
ENG-0057,Nexus Enterprises,Financial Services,Workforce Transformation,People & Organisation,Manchester,2024-01-29,2024-07-15,24,5,501.0,501.0,0.0,238.0,118944.0,57886.0,7761.0,65647.0,65647.0,53297.0,44.8,53297.0,44.8,9.2,0
ENG-0058,Falcon Solutions,Telecommunications,Regulatory Compliance,Strategy & Growth,London,2023-04-22,2023-06-17,8,8,190.0,214.0,12.6,328.0,62245.0,32201.0,2658.0,34859.0,37927.0,27386.0,44.0,24318.0,39.1,9.0,1
ENG-0059,Sterling Systems,Energy & Utilities,Data Strategy,Technology & Digital,Edinburgh,2023-04-03,2023-11-13,32,3,286.0,366.0,27.9,286.0,81835.0,41669.0,3538.0,45206.0,54022.0,36628.0,44.8,27813.0,34.0,7.3,1
ENG-0060,Crest Partners,Technology,Supply Chain Redesign,Technology & Digital,London,2023-08-29,2023-10-24,8,5,168.0,184.0,9.5,244.0,41030.0,21336.0,2012.0,23348.0,24897.0,17683.0,43.1,16133.0,39.3,5.2,1
ENG-0061,Monarch Capital,Retail & Consumer,Workforce Transformation,Operations & Supply Chain,Bristol,2024-07-30,2024-10-22,12,4,148.0,148.0,0.0,272.0,40093.0,19887.0,2132.0,22019.0,22019.0,18075.0,45.1,18075.0,45.1,8.7,0
ENG-0062,Helix Partners,Financial Services,Digital Transformation,Financial Advisory,Edinburgh,2024-03-03,2024-05-12,10,4,147.0,160.0,9.0,297.0,43586.0,21263.0,3003.0,24266.0,25796.0,19321.0,44.3,17790.0,40.8,7.3,1
ENG-0063,Cascade Corp,Financial Services,Supply Chain Redesign,Financial Advisory,Edinburgh,2023-09-27,2023-11-08,6,2,44.0,50.0,12.3,281.0,12382.0,6204.0,832.0,7037.0,7641.0,5346.0,43.2,4741.0,38.3,6.6,0
ENG-0064,Vertex Enterprises,Healthcare & Pharma,Regulatory Compliance,Technology & Digital,London,2024-04-12,2024-07-05,12,5,189.0,213.0,12.7,277.0,52387.0,27225.0,3315.0,30540.0,33265.0,21847.0,41.7,19122.0,36.5,8.0,0
ENG-0065,Cobalt Industries,Public Sector,Process Optimisation,Technology & Digital,Manchester,2023-12-07,2024-03-28,16,3,200.0,207.0,3.1,244.0,48835.0,27251.0,2700.0,29951.0,30595.0,18884.0,38.7,18239.0,37.3,8.9,0
ENG-0066,Horizon Holdings,Telecommunications,Supply Chain Redesign,Technology & Digital,Manchester,2023-07-08,2023-10-28,16,5,341.0,395.0,15.9,247.0,84129.0,43767.0,5207.0,48973.0,54409.0,35156.0,41.8,29721.0,35.3,8.1,0
ENG-0067,Pinnacle Group,Retail & Consumer,Strategic Review,Strategy & Growth,Manchester,2024-08-18,2024-11-10,12,5,183.0,183.0,0.0,262.0,48027.0,22126.0,2577.0,24703.0,24703.0,23324.0,48.6,23324.0,48.6,8.2,1
ENG-0068,Helix Capital,Financial Services,Process Optimisation,People & Organisation,Edinburgh,2023-11-29,2024-04-17,20,5,281.0,296.0,5.3,242.0,68004.0,37875.0,3779.0,41654.0,43211.0,26350.0,38.7,24793.0,36.5,6.5,0
ENG-0069,Crest Ltd,Retail & Consumer,Data Strategy,Strategy & Growth,Birmingham,2024-04-23,2024-06-04,6,3,72.0,74.0,3.1,261.0,18733.0,9096.0,1033.0,10130.0,10352.0,8603.0,45.9,8380.0,44.7,7.9,0
ENG-0070,Meridian Holdings,Healthcare & Pharma,Data Strategy,Operations & Supply Chain,London,2024-06-09,2024-08-04,8,8,236.0,237.0,0.5,211.0,49910.0,24426.0,2435.0,26861.0,26957.0,23049.0,46.2,22953.0,46.0,9.3,0
ENG-0071,Helix Capital,Telecommunications,Operating Model Design,Operations & Supply Chain,Birmingham,2023-08-21,2023-10-30,10,4,153.0,163.0,6.6,264.0,40334.0,21152.0,2538.0,23690.0,24777.0,16644.0,41.3,15558.0,38.6,7.5,1
ENG-0072,Pinnacle Systems,Manufacturing,Data Strategy,People & Organisation,Edinburgh,2024-07-08,2024-09-02,8,10,345.0,413.0,20.0,208.0,71531.0,36476.0,4468.0,40944.0,46671.0,30587.0,42.8,24860.0,34.8,5.8,1
ENG-0073,Astra PLC,Energy & Utilities,Process Optimisation,Technology & Digital,Bristol,2023-08-28,2023-11-20,12,2,88.0,97.0,9.7,236.0,20824.0,10721.0,1275.0,11996.0,12807.0,8827.0,42.4,8017.0,38.5,7.8,1
ENG-0074,Atlas Capital,Financial Services,Process Optimisation,Financial Advisory,London,2024-01-22,2024-04-15,12,3,123.0,145.0,17.5,292.0,35892.0,19626.0,2445.0,22072.0,24772.0,13820.0,38.5,11120.0,31.0,5.8,0
ENG-0075,Horizon Capital,Energy & Utilities,Market Entry,Technology & Digital,London,2024-02-20,2024-04-02,6,3,62.0,62.0,0.0,235.0,14533.0,7368.0,772.0,8140.0,8140.0,6393.0,44.0,6393.0,44.0,7.8,0
ENG-0076,Meridian Holdings,Manufacturing,Operating Model Design,Strategy & Growth,Edinburgh,2023-11-09,2024-01-04,8,3,85.0,85.0,0.0,285.0,24224.0,13049.0,1109.0,14158.0,14158.0,10067.0,41.6,10067.0,41.6,9.4,0
ENG-0077,Meridian Solutions,Manufacturing,Customer Experience,Technology & Digital,London,2024-09-19,2025-03-06,24,3,204.0,229.0,12.0,284.0,57873.0,30470.0,3509.0,33979.0,36841.0,23894.0,41.3,21032.0,36.3,7.3,0
ENG-0078,Meridian Ltd,Telecommunications,Process Optimisation,People & Organisation,London,2024-04-27,2024-07-06,10,2,89.0,89.0,0.0,226.0,20136.0,10348.0,1366.0,11714.0,11714.0,8422.0,41.8,8422.0,41.8,7.6,0
ENG-0079,Apex Enterprises,Telecommunications,Market Entry,Operations & Supply Chain,London,2024-04-11,2024-06-20,10,6,235.0,271.0,15.1,247.0,58144.0,30705.0,3586.0,34290.0,37912.0,23854.0,41.0,20232.0,34.8,7.1,1
ENG-0080,Sterling Solutions,Energy & Utilities,Workforce Transformation,Technology & Digital,London,2023-07-14,2023-09-08,8,3,84.0,84.0,0.4,232.0,19444.0,10147.0,1274.0,11421.0,11451.0,8023.0,41.3,7993.0,41.1,7.6,1
ENG-0081,Atlas Solutions,Financial Services,Workforce Transformation,Financial Advisory,Birmingham,2023-05-15,2023-08-07,12,5,253.0,253.0,0.0,272.0,68856.0,35641.0,4153.0,39794.0,39794.0,29062.0,42.2,29062.0,42.2,8.4,1
ENG-0082,Cascade Group,Retail & Consumer,Strategic Review,People & Organisation,Edinburgh,2024-09-03,2024-10-15,6,4,68.0,84.0,23.5,221.0,15088.0,8289.0,739.0,9028.0,10513.0,6060.0,40.2,4575.0,30.3,5.2,1
ENG-0083,Sterling International,Retail & Consumer,Data Strategy,People & Organisation,Manchester,2024-08-04,2025-01-19,24,5,521.0,566.0,8.6,231.0,120369.0,57897.0,5448.0,63345.0,67159.0,57024.0,47.4,53211.0,44.2,8.1,0
ENG-0084,Apex Capital,Retail & Consumer,Operating Model Design,Technology & Digital,Birmingham,2024-08-30,2024-10-25,8,3,97.0,116.0,19.6,304.0,29551.0,15042.0,1311.0,16353.0,18598.0,13198.0,44.7,10953.0,37.1,6.6,0
ENG-0085,Vertex Holdings,Public Sector,Supply Chain Redesign,Technology & Digital,Birmingham,2024-10-02,2025-02-19,20,4,236.0,252.0,6.7,240.0,56604.0,27686.0,2502.0,30189.0,31609.0,26416.0,46.7,24995.0,44.2,7.9,0
ENG-0086,Meridian Ltd,Telecommunications,Data Strategy,Financial Advisory,Manchester,2023-07-16,2023-10-08,12,3,146.0,146.0,0.0,286.0,41832.0,22282.0,2550.0,24832.0,24832.0,16999.0,40.6,16999.0,40.6,9.0,1
ENG-0087,Meridian PLC,Manufacturing,M&A Due Diligence,Strategy & Growth,Manchester,2024-06-14,2024-10-04,16,4,224.0,289.0,28.8,252.0,56576.0,30507.0,4089.0,34595.0,41572.0,21981.0,38.9,15004.0,26.5,6.6,0
ENG-0088,Crest Enterprises,Retail & Consumer,Data Strategy,Operations & Supply Chain,Edinburgh,2023-09-01,2024-01-19,20,2,172.0,172.0,0.0,252.0,43453.0,21161.0,2487.0,23648.0,23648.0,19805.0,45.6,19805.0,45.6,8.0,0
ENG-0089,Crest Ltd,Manufacturing,Customer Experience,Operations & Supply Chain,London,2024-01-16,2024-04-09,12,8,311.0,316.0,1.4,247.0,77010.0,37993.0,5040.0,43034.0,43470.0,33977.0,44.1,33540.0,43.6,8.9,1
ENG-0090,Crest Systems,Technology,Data Strategy,Financial Advisory,London,2024-06-06,2024-08-15,10,5,152.0,185.0,21.7,245.0,37297.0,17777.0,1445.0,19223.0,22144.0,18074.0,48.5,15153.0,40.6,5.8,0
ENG-0091,Atlas Systems,Retail & Consumer,Data Strategy,Operations & Supply Chain,Edinburgh,2024-05-27,2024-08-19,12,4,194.0,212.0,9.3,245.0,47547.0,23870.0,3515.0,27386.0,29172.0,20161.0,42.4,18375.0,38.6,7.9,0
ENG-0092,Cascade International,Healthcare & Pharma,Data Strategy,Strategy & Growth,Manchester,2024-04-11,2024-07-04,12,5,170.0,174.0,1.9,253.0,43130.0,23047.0,3376.0,26422.0,26765.0,16707.0,38.7,16364.0,37.9,7.3,1
ENG-0093,Vanguard Ltd,Public Sector,Customer Experience,Financial Advisory,Birmingham,2024-08-06,2024-10-15,10,3,103.0,134.0,29.5,266.0,27484.0,13480.0,1659.0,15139.0,18262.0,12345.0,44.9,9222.0,33.6,4.5,1
ENG-0094,Vanguard PLC,Public Sector,Data Strategy,Strategy & Growth,Manchester,2023-11-06,2024-02-26,16,3,156.0,182.0,16.8,310.0,48265.0,25185.0,2202.0,27388.0,30604.0,20877.0,43.3,17661.0,36.6,5.3,1
ENG-0095,Crest Industries,Financial Services,Market Entry,Technology & Digital,Manchester,2023-09-18,2024-04-29,32,5,709.0,725.0,2.3,275.0,194814.0,92770.0,8092.0,100863.0,102506.0,93951.0,48.2,92307.0,47.4,10.0,1
ENG-0096,Astra Systems,Energy & Utilities,Strategic Review,Financial Advisory,Edinburgh,2024-01-10,2024-03-06,8,3,73.0,93.0,27.4,281.0,20622.0,10194.0,949.0,11143.0,13277.0,9480.0,46.0,7346.0,35.6,6.3,0
ENG-0097,Sentinel Enterprises,Energy & Utilities,Digital Transformation,Technology & Digital,Birmingham,2023-09-05,2023-11-28,12,4,169.0,178.0,5.7,238.0,40111.0,21818.0,1794.0,23612.0,24553.0,16499.0,41.1,15559.0,38.8,8.5,0
ENG-0098,Nexus Partners,Public Sector,Cost Reduction,Technology & Digital,London,2024-08-17,2024-12-07,16,8,504.0,583.0,15.8,227.0,114596.0,59225.0,4768.0,63993.0,71055.0,50604.0,44.2,43541.0,38.0,7.4,0
ENG-0099,Atlas International,Energy & Utilities,Regulatory Compliance,Operations & Supply Chain,Manchester,2023-08-02,2023-08-30,4,2,29.0,29.0,1.9,246.0,7057.0,3485.0,424.0,3909.0,3959.0,3148.0,44.6,3097.0,43.9,8.4,1
ENG-0100,Monarch Partners,Telecommunications,Operating Model Design,Financial Advisory,London,2023-05-03,2023-05-31,4,5,73.0,74.0,2.0,234.0,16974.0,9236.0,1384.0,10621.0,10772.0,6353.0,37.4,6201.0,36.5,8.4,1
ENG-0101,Atlas Corp,Technology,Digital Transformation,People & Organisation,Birmingham,2023-09-04,2024-01-22,20,5,332.0,339.0,2.3,277.0,91768.0,47001.0,5701.0,52702.0,53552.0,39066.0,42.6,38216.0,41.6,8.8,0
ENG-0102,Vanguard Ltd,Retail & Consumer,Regulatory Compliance,Technology & Digital,Edinburgh,2023-04-13,2023-11-23,32,2,265.0,288.0,8.4,288.0,76325.0,40989.0,6068.0,47057.0,49815.0,29268.0,38.3,26510.0,34.7,7.9,1
ENG-0103,Apex Holdings,Healthcare & Pharma,M&A Due Diligence,Technology & Digital,Edinburgh,2023-09-17,2023-10-29,6,6,142.0,142.0,0.0,275.0,39065.0,20934.0,1886.0,22820.0,22820.0,16245.0,41.6,16245.0,41.6,9.1,0
ENG-0104,Cascade Ltd,Retail & Consumer,Customer Experience,Operations & Supply Chain,Manchester,2023-12-31,2024-01-28,4,3,40.0,45.0,10.7,208.0,8420.0,4229.0,529.0,4759.0,5116.0,3662.0,43.5,3304.0,39.2,6.5,0
ENG-0105,Apex Partners,Retail & Consumer,Strategic Review,Strategy & Growth,Manchester,2024-05-11,2024-08-03,12,5,235.0,273.0,16.2,302.0,70824.0,34216.0,3681.0,37897.0,42186.0,32927.0,46.5,28638.0,40.4,8.7,1
ENG-0106,Helix Industries,Healthcare & Pharma,Cost Reduction,Technology & Digital,Bristol,2024-07-10,2025-02-19,32,4,506.0,506.0,0.0,265.0,134203.0,73161.0,9000.0,82161.0,82161.0,52042.0,38.8,52042.0,38.8,8.2,0
ENG-0107,Vertex Partners,Telecommunications,Supply Chain Redesign,Strategy & Growth,Bristol,2024-02-26,2024-10-07,32,3,352.0,352.0,0.0,286.0,100642.0,53709.0,5528.0,59237.0,59237.0,41405.0,41.1,41405.0,41.1,8.3,0
